IQ,CGPA,Academic_Performance,Internship_Experience,Extra_Curricular_Score,Communication_Skills,Projects_Completed,Placement
122,8.69,3,0,5,3,4,1
97,9.13,3,1,6,10,4,1
119,10.06,3,1,10,4,2,1
85,8.38,7,1,5,8,5,1
98,8.31,6,0,2,8,2,1
117,8.41,9,0,1,4,5,1
115,8.84,4,0,7,8,3,1
123,6.42,9,0,2,9,3,1
99,9.8,6,0,9,10,3,1
88,8.87,7,0,1,8,2,1
100,8.78,4,0,10,9,3,1
83,9.13,10,0,5,9,2,1
80,10.22,1,1,10,9,4,1
111,8.3,8,1,4,6,5,1
118,5.45,1,0,5,9,4,1
141,8.03,5,0,3,6,3,1
107,10.11,3,1,7,9,2,1
111,8.7,7,1,6,10,5,1
97,9.28,10,1,10,9,3,1
97,9.77,8,0,0,10,3,1
120,7.54,4,0,5,9,3,1
117,5.22,8,1,0,8,5,1
91,8.46,4,0,2,8,4,1
135,9.33,2,0,5,9,5,1
113,5.56,10,0,2,9,5,1
97,9.65,4,1,4,10,2,1
92,9.35,4,0,9,9,3,1
146,9.62,9,0,6,3,3,1
106,8.37,1,0,0,9,3,1
114,9.34,9,1,1,4,3,1
120,7.94,1,1,9,8,3,1
124,5.86,10,1,4,10,4,1
84,9.66,8,1,0,10,2,1
94,9.49,4,0,2,8,2,1
82,8.66,3,0,7,8,2,1
119,8.18,7,0,10,2,2,1
112,7.89,1,0,6,10,2,1
115,6.43,4,0,3,10,4,1
120,8.58,8,1,3,3,4,1
119,8.04,6,0,2,10,3,1
104,8.57,6,0,3,10,3,1
93,9.14,7,1,1,10,2,1
116,9.65,8,1,9,1,5,1
114,5.42,5,0,0,9,3,1
126,8.73,3,0,0,8,2,1
114,8.19,1,0,1,9,4,1
104,9.32,4,1,8,10,4,1
120,9.41,7,0,5,1,3,1
101,9.03,9,1,10,10,3,1
124,9.39,3,0,9,7,5,1
110,9.65,2,0,1,8,4,1
90,9.74,2,1,3,10,2,1
99,9.58,9,0,1,9,5,1
112,7.08,1,1,5,8,5,1
115,8.27,4,0,3,2,5,1
88,8.08,2,1,0,10,5,1
130,9.39,9,0,6,6,3,1
134,9.62,6,0,8,6,2,1
118,9.53,6,1,0,1,3,1
135,8.54,6,0,9,1,2,1
112,8.96,8,0,9,6,5,1
116,7.53,5,0,6,8,2,1
100,9.22,10,1,4,9,5,1
111,6.22,4,0,7,10,4,1
103,8.72,1,0,0,9,4,1
105,9.58,8,0,8,9,3,1
122,6.65,5,1,10,9,4,1
113,6.12,10,0,6,10,2,1
115,6.51,3,0,10,9,4,1
101,9.15,10,1,7,8,3,1
100,8.47,4,0,4,8,4,1
138,8.3,6,1,1,6,2,1
95,9.74,8,0,2,9,4,1
112,9.06,6,0,7,1,5,1
115,9.37,8,1,8,1,2,1
113,5.68,2,0,5,8,4,1
111,5.01,6,0,3,10,2,1
103,10.37,7,1,5,9,2,1
125,8.69,4,0,10,2,5,1
115,8.9,3,1,10,4,3,1
111,9.81,6,0,4,10,2,1
135,9.63,8,0,9,6,2,1
117,9.02,10,1,2,4,3,1
105,9.18,4,0,10,10,5,1
126,8.49,6,0,0,9,5,1
100,8.84,6,0,4,9,4,1
114,9.16,2,0,6,9,4,1
127,7.71,2,1,7,10,5,1
104,9.17,4,0,7,9,3,1
118,9.35,3,1,0,8,4,1
112,6.95,4,0,5,10,3,1
114,8.13,9,1,5,7,4,1
118,7.41,7,0,6,8,4,1
88,9.06,3,0,0,10,3,1
116,9.0,8,0,8,9,0,1
119,10.08,1,0,4,9,5,1
93,8.3,6,0,0,10,5,1
115,8.64,3,0,4,5,3,1
81,9.7,4,0,0,8,4,1
120,8.58,4,0,5,5,3,1
123,5.31,3,0,4,8,5,1
119,6.69,2,0,6,10,2,1
111,8.66,9,0,3,4,5,1
108,8.5,1,0,6,8,2,1
118,9.45,6,1,5,10,0,1
103,8.5,6,1,10,8,2,1
103,9.43,5,1,7,9,3,1
117,6.77,10,0,3,9,5,1
92,9.23,1,1,0,9,5,1
111,10.1,8,1,4,9,5,1
125,9.15,4,1,5,1,5,1
113,9.77,5,1,1,6,2,1
75,8.85,9,1,6,8,3,1
99,9.07,6,0,0,9,4,1
120,9.25,5,0,3,5,4,1
95,9.64,10,1,6,8,2,1
123,8.62,2,0,8,4,5,1
98,9.62,4,0,1,10,5,1
138,9.4,2,1,5,3,5,1
125,9.02,3,1,9,7,4,1
112,8.87,5,0,8,7,2,1
80,9.55,10,0,4,8,3,1
112,9.72,1,1,5,8,2,1
117,9.25,3,1,6,10,2,1
113,9.43,10,1,3,10,4,1
114,7.4,5,1,8,8,3,1
117,8.23,1,1,3,9,4,1
78,10.01,8,0,9,8,2,1
114,9.03,3,1,1,3,2,1
96,10.28,2,1,2,10,4,1
101,9.15,6,0,6,10,3,1
100,9.44,10,0,10,10,5,1
89,8.17,4,0,0,10,2,1
115,8.54,2,1,1,4,4,1
131,8.96,4,0,9,8,2,1
123,8.31,7,0,8,10,3,1
102,8.29,1,0,3,9,2,1
90,8.33,4,0,7,10,4,1
98,8.86,2,0,6,8,4,1
119,8.43,8,0,3,8,4,1
137,9.39,4,0,9,3,5,1
125,9.42,2,1,4,2,2,1
130,7.98,8,0,9,10,2,1
111,9.0,4,0,1,10,5,1
124,5.53,3,1,9,8,3,1
123,6.37,8,0,7,10,3,1
91,8.79,10,1,9,10,3,1
113,5.87,2,0,10,10,2,1
95,8.22,5,0,0,8,5,1
97,9.47,5,0,8,8,2,1
85,9.71,5,1,10,9,5,1
125,7.09,3,0,1,9,4,1
112,8.57,7,0,0,4,2,1
102,8.36,10,0,3,9,2,1
111,7.59,2,0,5,8,4,1
120,9.4,7,0,3,1,3,1
123,8.91,4,0,4,6,5,1
116,8.93,9,1,6,4,3,1
120,8.44,9,0,0,10,0,1
110,9.89,2,0,2,9,3,1
80,8.97,8,0,4,9,4,1
100,9.26,10,0,3,8,3,1
105,8.52,10,0,4,8,5,1
77,9.33,7,0,10,10,3,1
98,9.72,10,0,8,10,4,1
96,9.15,10,1,8,9,4,1
114,5.89,4,1,6,8,4,1
128,8.37,8,1,7,5,5,1
101,8.38,4,1,0,8,5,1
93,8.52,10,1,5,8,4,1
97,8.78,5,1,1,10,2,1
94,9.1,9,0,10,8,3,1
85,8.81,4,1,7,9,3,1
120,8.19,1,0,7,10,0,1
112,6.96,9,1,7,10,4,1
65,9.49,3,0,3,8,3,1
121,8.47,8,1,2,1,2,1
143,8.78,1,0,8,9,0,1
92,9.55,10,0,5,9,4,1
118,8.19,6,0,7,3,2,1
94,9.67,5,0,9,10,2,1
110,9.73,9,0,5,9,4,1
116,9.89,5,1,0,8,2,1
100,9.09,4,1,2,8,4,1
116,8.7,6,0,10,5,4,1
94,8.6,3,0,2,9,3,1
56,8.81,4,1,3,9,4,1
125,8.23,3,1,9,9,1,1
106,8.23,5,0,3,9,4,1
86,9.47,1,0,6,8,2,1
111,8.88,3,1,5,10,2,1
109,8.75,2,0,9,10,4,1
110,8.68,2,0,5,10,4,1
102,9.3,2,0,0,9,3,1
89,8.07,9,1,2,8,3,1
112,8.1,4,1,3,7,5,1
130,6.26,4,0,5,8,3,1
131,8.35,8,1,7,8,1,1
120,8.59,1,0,3,5,4,1
101,8.18,4,1,4,9,2,1
67,9.39,7,1,7,9,3,1
124,9.41,5,1,10,9,3,1
123,9.89,8,0,7,1,4,1
91,9.68,2,0,8,8,5,1
112,9.06,9,0,6,7,3,1
117,9.85,7,0,10,7,3,1
116,8.51,4,0,1,1,5,1
116,7.36,5,0,9,9,5,1
101,8.07,4,0,1,10,5,1
112,9.41,5,1,10,2,4,1
114,10.12,7,1,9,7,5,1
118,7.56,9,0,5,8,2,1
133,9.44,7,0,1,7,3,1
94,8.22,5,0,7,10,4,1
101,10.07,3,0,5,9,3,1
122,8.19,4,0,3,6,4,1
120,5.8,8,0,5,8,2,1
115,9.2,2,0,4,6,5,1
94,9.25,9,0,3,8,3,1
112,8.92,4,0,6,8,2,1
122,9.34,10,1,5,8,3,1
115,6.42,8,1,6,8,2,1
94,9.52,10,0,3,9,4,1
135,8.82,7,0,6,3,3,1
116,9.24,7,1,5,10,2,1
113,7.44,2,1,9,10,2,1
125,8.43,1,0,7,3,3,1
123,5.5,9,0,1,8,2,1
95,8.57,4,1,10,10,2,1
87,9.07,10,0,10,9,3,1
115,9.39,9,1,0,9,2,1
112,9.3,1,0,7,8,5,1
87,8.1,9,0,10,9,4,1
104,8.92,6,1,10,8,5,1
91,9.86,3,0,1,9,3,1
99,8.32,1,1,0,10,4,1
102,8.99,5,1,10,10,2,1
123,6.06,1,0,0,8,2,1
80,9.91,1,1,0,9,4,1
97,8.41,6,1,4,8,5,1
81,9.32,7,1,5,8,5,1
123,9.3,3,0,8,7,2,1
113,8.04,6,0,8,6,4,1
119,9.82,8,0,1,4,5,1
114,7.49,10,1,1,9,3,1
82,8.59,1,1,7,8,5,1
101,9.65,1,1,0,10,2,1
114,6.43,3,0,2,10,3,1
117,10.09,7,0,10,2,2,1
112,8.01,7,0,7,3,2,1
96,9.51,1,1,10,9,3,1
114,7.2,4,0,2,8,3,1
88,9.57,7,1,4,10,2,1
115,8.83,7,0,8,6,5,1
104,9.53,5,0,2,9,2,1
114,8.86,10,0,3,3,2,1
114,8.58,10,1,8,10,4,1
113,9.95,4,1,3,1,3,1
115,5.85,3,1,6,10,5,1
91,9.44,1,1,10,9,4,1
114,8.84,10,0,2,7,5,1
134,8.59,7,0,8,9,3,1
114,9.8,3,0,3,6,5,1
118,6.67,2,0,0,9,5,1
92,9.09,4,1,10,10,5,1
111,9.3,6,0,0,6,2,1
77,8.28,2,0,0,9,4,1
92,9.89,3,0,0,8,4,1
116,8.82,8,0,2,5,3,1
106,10.03,10,0,10,9,4,1
119,10.1,10,0,7,4,5,1
112,8.44,10,0,1,9,4,1
113,5.18,8,1,9,8,2,1
120,6.84,9,1,8,8,3,1
96,9.14,3,0,3,9,5,1
102,9.43,2,1,0,8,3,1
77,9.9,6,1,4,10,2,1
114,9.41,4,1,10,8,5,1
114,8.42,1,0,8,4,2,1
89,9.42,1,0,9,9,4,1
94,9.63,10,0,7,8,2,1
112,8.48,9,0,3,2,4,1
114,8.79,2,0,1,6,3,1
81,9.13,5,0,3,8,5,1
106,8.55,1,0,9,8,2,1
79,9.47,9,0,10,10,3,1
123,8.67,2,1,3,10,2,1
113,7.41,5,0,8,9,2,1
59,9.03,2,1,1,10,3,1
112,9.83,10,0,4,5,5,1
94,8.25,4,1,9,10,2,1
92,9.56,10,1,10,10,5,1
122,5.87,5,1,9,10,4,1
122,8.7,3,1,9,1,2,1
98,9.55,10,1,2,8,4,1
80,9.34,3,0,4,9,4,1
117,8.24,9,1,7,8,1,1
84,10.37,8,0,10,8,4,1
122,7.39,2,0,5,9,4,1
90,9.58,8,1,4,10,2,1
119,5.25,8,1,4,8,2,1
90,8.94,2,1,3,8,3,1
126,8.56,1,0,2,6,2,1
116,8.25,6,0,9,3,3,1
135,8.96,5,0,6,9,4,1
78,8.5,2,1,8,9,3,1
69,9.64,5,0,1,10,3,1
106,8.82,7,0,4,9,3,1
126,7.7,2,0,8,9,2,1
126,6.56,7,0,5,8,4,1
116,4.9,6,1,3,8,4,1
103,9.96,10,1,6,10,2,1
123,9.59,4,1,2,8,0,1
112,5.76,4,0,9,9,4,1
86,9.3,4,0,2,10,5,1
81,8.65,8,0,9,8,4,1
114,8.58,5,0,2,2,3,1
111,8.48,9,0,8,10,4,1
86,9.66,7,1,5,8,5,1
116,6.47,8,0,5,10,3,1
117,8.47,8,0,5,2,5,1
79,8.47,1,0,6,10,4,1
95,8.05,6,0,5,8,2,1
116,6.06,1,0,5,8,3,1
121,9.03,8,0,10,10,5,1
121,8.11,9,1,10,7,5,1
115,9.39,1,0,4,2,5,1
117,8.36,2,0,7,8,2,1
126,8.42,3,0,3,9,4,1
125,6.66,1,0,3,10,2,1
109,8.31,1,1,2,9,2,1
112,8.92,5,1,9,6,5,1
97,9.83,3,1,9,8,2,1
96,9.78,8,1,0,10,3,1
105,8.1,9,0,1,8,2,1
70,9.11,10,0,9,10,2,1
130,4.59,3,1,1,10,4,1
104,9.34,7,0,9,8,5,1
125,5.91,5,1,7,8,3,1
99,8.63,7,0,5,9,3,1
112,6.26,4,1,1,10,3,1
123,8.8,8,1,1,9,3,1
123,6.25,4,0,5,10,2,1
125,10.17,4,0,10,10,2,1
111,9.15,6,1,8,10,2,1
97,9.24,5,0,7,9,3,1
105,8.14,3,0,10,10,2,1
96,9.8,6,1,10,8,4,1
128,8.03,3,0,6,2,2,1
137,9.24,3,0,0,6,4,1
100,9.56,7,1,9,8,2,1
95,8.68,5,1,7,10,5,1
90,8.52,9,0,8,10,2,1
127,8.07,8,1,3,9,1,1
129,9.12,1,0,3,2,2,1
115,9.51,8,1,8,9,2,1
116,5.18,6,0,3,9,3,1
77,9.61,10,0,4,10,3,1
115,9.06,4,0,7,3,5,1
114,5.03,9,0,2,9,4,1
116,8.85,1,0,6,8,5,1
138,9.05,4,1,8,9,2,1
126,8.97,7,1,9,9,2,1
107,8.07,2,1,8,9,3,1
121,10.35,7,1,7,10,2,1
114,8.24,1,0,2,1,5,1
117,9.03,10,0,10,8,1,1
78,8.79,2,0,2,10,4,1
73,9.12,3,1,7,9,3,1
103,8.63,1,0,8,8,5,1
102,9.83,8,1,1,10,2,1
117,9.87,2,1,1,10,0,1
119,6.18,7,0,6,8,5,1
81,8.39,7,0,0,10,2,1
131,7.99,4,1,0,9,3,1
116,5.58,8,1,8,8,3,1
73,9.12,7,0,0,9,2,1
110,9.62,5,0,2,10,5,1
111,8.32,6,0,7,2,5,1
120,8.18,4,0,1,7,5,1
113,8.84,3,1,2,6,5,1
130,9.19,3,0,4,1,5,1
104,8.35,8,1,4,8,3,1
82,8.57,10,1,5,9,5,1
92,8.12,5,0,7,8,4,1
118,8.44,2,0,6,9,1,1
82,8.76,2,1,0,10,3,1
123,8.39,1,0,3,8,5,1
108,8.38,3,1,1,9,4,1
68,8.43,6,0,5,9,2,1
118,8.73,9,0,7,6,2,1
117,7.19,9,0,8,8,2,1
130,8.88,9,0,2,8,0,1
108,9.38,7,0,8,10,4,1
97,8.22,5,0,5,9,2,1
88,10.25,10,1,10,10,5,1
112,7.34,5,1,2,9,3,1
117,9.84,6,0,3,8,0,1
101,9.01,5,1,4,8,4,1
95,9.2,3,1,3,9,5,1
97,8.06,10,0,10,8,4,1
126,7.31,4,0,0,8,4,1
87,8.02,8,1,0,9,4,1
92,8.47,9,0,1,9,3,1
74,9.7,1,1,7,9,4,1
120,8.56,8,1,4,10,1,1
111,8.77,3,0,7,2,3,1
117,6.86,7,0,2,10,3,1
108,8.95,3,1,1,10,4,1
120,8.88,8,0,4,1,2,1
117,8.07,1,0,0,10,0,1
131,8.55,10,0,7,10,2,1
69,8.78,8,0,6,9,4,1
100,8.47,5,1,5,8,2,1
98,8.5,2,0,7,10,5,1
114,9.3,3,1,2,10,0,1
102,8.03,3,0,8,8,4,1
112,8.73,10,1,0,9,0,1
117,7.1,6,0,3,8,4,1
93,9.33,1,0,10,10,2,1
100,8.56,1,0,5,9,3,1
123,7.45,7,0,10,10,3,1
116,8.18,10,1,1,7,5,1
129,9.48,6,0,10,9,2,1
120,9.22,6,0,7,1,5,1
90,8.85,9,0,8,9,5,1
113,8.5,9,1,7,4,4,1
121,10.24,7,1,10,7,2,1
129,7.17,2,0,7,9,4,1
115,10.17,1,1,5,10,3,1
112,8.38,5,1,1,6,3,1
93,9.58,8,0,7,10,2,1
105,9.42,5,0,7,10,3,1
121,9.23,5,0,1,6,3,1
83,9.61,4,0,8,9,5,1
118,9.59,5,1,10,10,2,1
98,9.5,10,1,3,9,2,1
117,9.28,3,1,6,8,5,1
120,5.88,2,0,10,10,5,1
73,8.89,3,0,6,10,4,1
121,9.46,2,0,10,1,4,1
112,8.54,3,0,0,3,2,1
115,9.06,10,1,7,1,5,1
115,9.09,4,0,0,7,5,1
92,8.9,5,0,8,9,2,1
80,8.37,9,1,7,10,2,1
107,8.56,4,1,2,10,2,1
105,9.96,2,0,9,8,4,1
119,9.64,9,1,1,6,3,1
120,9.92,2,1,2,10,5,1
124,8.79,1,0,9,3,4,1
115,8.83,10,1,4,5,5,1
111,5.42,1,0,5,9,4,1
115,8.9,9,0,2,3,3,1
95,8.58,4,0,4,8,2,1
82,8.3,4,0,10,9,2,1
126,8.24,4,0,4,10,5,1
115,9.6,8,1,1,4,3,1
131,9.6,2,1,9,4,5,1
125,8.36,8,1,1,5,5,1
104,9.04,10,1,2,10,4,1
118,6.61,7,0,7,8,4,1
112,7.8,3,0,9,9,3,1
100,9.76,6,1,3,10,4,1
131,6.82,9,0,7,9,4,1
101,9.04,4,0,7,10,2,1
118,9.39,4,1,5,3,4,1
109,10.04,8,0,4,8,3,1
93,9.71,10,1,4,10,3,1
111,6.42,1,1,7,9,4,1
111,8.37,10,1,6,7,2,1
128,9.63,7,0,3,4,2,1
112,8.37,3,1,0,4,2,1
119,8.25,5,0,6,7,2,1
77,8.05,10,1,8,9,3,1
113,6.68,4,1,3,10,3,1
105,9.47,9,0,4,9,5,1
122,8.81,1,1,1,4,3,1
117,8.69,1,0,7,7,3,1
112,8.19,10,1,5,8,4,1
121,7.77,9,0,0,9,5,1
90,9.57,5,0,6,8,4,1
89,10.39,10,0,4,10,5,1
122,8.01,3,1,0,5,3,1
89,8.97,2,0,0,9,2,1
112,9.98,6,0,7,8,2,1
116,7.03,3,0,5,9,3,1
105,8.02,8,0,10,8,2,1
116,9.18,8,1,8,1,5,1
114,9.55,7,0,9,10,5,1
127,7.99,4,0,6,10,5,1
130,5.05,1,0,5,9,2,1
84,8.31,4,0,4,9,3,1
87,9.28,6,0,8,10,4,1
109,8.09,1,0,9,9,3,1
111,7.72,10,0,10,9,4,1
69,9.91,8,0,7,10,2,1
114,6.63,9,1,10,10,2,1
113,8.19,7,1,4,2,2,1
121,9.61,8,1,7,4,4,1
115,5.55,4,1,2,8,4,1
124,6.41,7,0,8,9,4,1
123,9.32,1,0,1,4,5,1
93,9.11,8,0,8,8,3,1
108,8.33,9,0,9,8,3,1
121,7.67,3,0,5,8,2,1
85,9.95,10,0,8,8,3,1
74,8.44,5,0,0,8,2,1
117,9.45,3,0,4,4,4,1
113,5.38,2,1,7,8,4,1
115,9.71,3,0,1,8,4,1
139,10.16,10,0,9,4,2,1
102,8.04,9,1,9,9,3,1
125,9.32,9,0,7,10,4,1
124,8.4,4,1,1,4,5,1
102,9.49,5,0,10,10,4,1
117,8.03,6,0,5,4,3,1
96,9.64,1,0,9,10,5,1
94,8.24,9,1,10,9,4,1
123,9.68,9,1,9,8,3,1
130,9.49,1,1,9,1,2,1
130,9.79,1,1,9,5,3,1
128,8.46,9,0,10,5,3,1
142,8.63,4,0,1,7,2,1
142,10.2,6,0,8,9,3,1
91,8.69,2,0,8,10,3,1
95,8.7,1,0,10,10,3,1
116,5.3,10,0,10,10,2,1
119,9.61,4,0,9,9,4,1
117,7.87,1,1,10,10,3,1
119,9.03,1,0,5,8,2,1
120,9.4,8,0,0,10,2,1
112,8.32,4,0,5,6,5,1
136,8.65,9,0,1,7,4,1
112,5.76,10,0,8,10,4,1
120,8.4,8,0,1,5,5,1
132,5.16,5,1,8,8,5,1
101,9.75,1,1,1,8,3,1
90,10.12,9,0,7,9,5,1
124,9.66,5,0,7,10,4,1
111,8.56,6,0,1,10,3,1
91,8.84,9,1,9,8,3,1
93,8.12,5,1,4,8,2,1
93,10.24,10,1,1,9,4,1
123,8.92,9,0,2,3,5,1
128,8.29,4,1,6,10,4,1
103,8.42,5,0,4,8,5,1
124,9.12,4,0,8,1,5,1
133,6.88,4,0,1,8,3,1
82,8.7,9,1,0,9,5,1
122,8.27,2,1,1,10,4,1
121,9.76,9,1,1,1,2,1
129,9.23,7,1,10,6,2,1
89,9.0,3,1,5,8,4,1
93,9.28,10,1,9,9,3,1
117,10.36,5,1,2,9,2,1
120,5.54,5,1,8,9,4,1
92,9.02,5,0,2,10,5,1
111,7.65,1,0,6,8,3,1
106,8.15,6,0,2,8,3,1
112,10.0,8,0,8,10,0,1
116,6.47,6,0,7,10,5,1
84,8.56,1,0,10,8,4,1
113,8.83,1,0,3,9,0,1
95,8.38,6,0,1,10,3,1
127,8.98,2,1,9,7,2,1
86,8.12,7,0,7,9,3,1
124,8.11,2,0,3,2,3,1
113,9.02,10,0,3,4,4,1
113,10.03,2,0,5,8,2,1
111,9.86,5,1,9,10,4,1
144,8.12,4,1,3,7,5,1
118,7.83,2,0,2,10,2,1
116,9.6,9,1,10,8,5,1
124,10.18,8,1,8,7,3,1
122,9.48,6,0,1,2,5,1
114,9.37,10,0,9,6,2,1
122,9.01,9,0,0,10,5,1
96,9.97,8,1,3,10,3,1
106,8.62,9,1,5,10,5,1
92,9.57,9,0,10,9,4,1
111,8.97,4,0,8,6,2,1
113,9.71,4,1,7,10,3,1
124,8.63,4,0,9,10,4,1
97,8.2,2,0,2,8,4,1
120,10.12,7,0,3,7,4,1
150,8.66,3,0,10,10,0,1
116,9.86,9,1,5,3,3,1
120,5.98,6,1,0,9,3,1
112,9.88,6,1,5,4,2,1
84,9.68,3,1,4,8,3,1
112,9.64,4,0,5,9,3,1
132,5.95,9,1,2,8,2,1
113,9.92,7,1,10,4,2,1
129,9.24,8,0,4,7,4,1
112,6.21,1,0,9,9,4,1
111,9.2,3,1,2,8,2,1
140,6.48,6,0,1,9,2,1
103,9.83,4,0,6,9,4,1
111,8.44,10,0,7,4,5,1
115,9.2,6,0,2,10,2,1
138,8.55,4,1,8,2,3,1
70,8.66,9,0,5,10,3,1
119,8.37,6,0,4,5,3,1
91,10.08,3,0,10,10,5,1
111,8.43,5,1,3,2,3,1
113,5.99,6,1,10,10,5,1
103,8.33,5,0,7,8,3,1
101,9.81,8,0,4,10,4,1
101,8.24,4,0,8,8,5,1
105,8.24,7,1,2,8,2,1
113,6.98,5,0,8,10,5,1
113,8.43,2,1,1,1,5,1
102,8.39,9,1,9,10,3,1
117,8.15,6,1,3,9,2,1
115,7.16,9,0,3,9,4,1
104,9.67,4,0,10,10,5,1
114,8.25,7,0,4,2,4,1
112,9.9,7,0,9,9,4,1
73,9.39,5,0,2,9,5,1
90,8.27,6,1,3,10,4,1
120,8.01,1,0,8,7,2,1
83,8.06,6,0,7,10,4,1
110,8.85,2,0,5,10,3,1
115,9.31,5,1,9,1,5,1
123,8.51,5,0,0,4,4,1
106,9.66,10,0,0,10,3,1
94,8.74,5,0,10,9,5,1
91,8.49,3,1,4,10,3,1
123,5.28,7,0,10,8,2,1
90,8.51,7,0,7,9,5,1
102,8.26,4,0,10,9,5,1
111,8.18,4,0,0,9,2,1
111,5.46,7,0,10,9,5,1
137,9.34,6,1,5,9,0,1
128,9.51,9,0,2,5,3,1
115,9.55,6,0,2,1,2,1
108,8.51,7,0,0,10,3,1
115,9.66,1,1,6,5,3,1
93,9.14,1,0,10,10,4,1
120,7.76,1,1,9,9,2,1
118,9.81,2,1,2,6,3,1
110,8.37,4,1,8,10,2,1
128,8.67,3,0,5,5,2,1
117,5.43,4,0,9,9,3,1
93,8.32,4,0,4,9,4,1
114,9.66,10,0,7,10,1,1
102,8.11,1,0,4,10,2,1
132,9.41,5,0,9,10,5,1
110,8.17,3,1,3,8,2,1
100,9.44,3,1,7,9,4,1
118,8.48,8,0,4,9,5,1
85,9.91,9,1,8,8,2,1
115,8.94,2,1,6,2,2,1
105,8.51,10,1,8,10,5,1
138,7.54,4,0,2,10,5,1
110,8.43,2,0,8,10,3,1
114,6.01,8,1,1,9,5,1
82,9.29,4,0,0,8,4,1
82,8.91,2,0,1,8,4,1
124,9.85,8,1,4,9,4,1
88,9.09,5,0,1,8,3,1
94,8.84,3,0,1,8,2,1
124,7.73,3,0,8,9,4,1
101,9.09,10,0,2,8,2,1
112,7.96,1,0,3,10,5,1
113,8.13,2,0,3,5,5,1
112,8.86,8,0,0,2,3,1
113,9.91,3,0,10,1,5,1
113,6.73,9,0,1,9,3,1
82,9.04,2,1,9,8,2,1
93,9.81,2,0,7,10,3,1
147,9.36,10,0,7,10,4,1
93,8.91,5,1,5,9,4,1
122,8.89,8,1,9,3,5,1
101,9.84,6,0,10,8,3,1
113,6.37,3,0,0,9,3,1
130,8.55,7,0,1,10,5,1
119,8.42,1,1,0,1,4,1
114,8.23,8,0,1,9,1,1
111,8.82,5,0,6,8,4,1
121,8.72,2,1,8,7,3,1
117,6.14,2,1,3,8,4,1
117,9.52,1,0,10,8,3,1
113,9.62,4,1,3,2,4,1
117,7.24,8,0,1,10,3,1
111,6.03,9,1,7,8,3,1
120,5.32,1,1,4,10,5,1
113,8.64,8,1,5,5,2,1
108,8.37,3,1,6,9,4,1
89,8.69,2,0,2,8,3,1
88,9.4,1,0,6,9,4,1
103,8.03,8,0,8,9,3,1
72,9.33,10,1,1,9,2,1
119,10.04,5,1,6,5,2,1
106,9.41,8,1,1,10,4,1
94,8.06,10,0,3,9,5,1
114,8.2,6,1,9,6,5,1
126,7.44,1,1,4,10,4,1
130,5.87,9,1,2,9,4,1
111,10.37,1,1,4,1,3,1
106,8.1,1,0,0,10,2,1
112,8.61,9,1,9,8,5,1
109,8.23,9,0,9,9,3,1
94,9.94,4,0,7,8,5,1
109,8.45,3,1,0,10,5,1
97,9.25,1,1,4,10,2,1
115,8.01,10,0,1,8,2,1
110,8.25,8,0,0,8,4,1
95,9.89,4,0,10,9,5,1
120,8.78,5,1,5,3,2,1
112,7.97,7,0,5,8,3,1
124,9.46,3,0,8,9,5,1
117,5.66,8,0,10,10,2,1
123,9.09,5,0,1,9,5,1
112,8.83,8,1,5,3,5,1
111,6.1,6,1,9,10,4,1
113,8.59,1,0,6,5,3,1
116,9.84,10,1,4,2,2,1
100,8.89,4,1,0,9,2,1
120,9.25,10,0,5,7,5,1
111,9.04,7,1,4,10,2,1
119,8.66,7,1,6,2,2,1
117,9.22,9,0,7,6,2,1
98,9.03,5,1,10,10,2,1
123,8.19,2,0,5,8,3,1
124,6.77,6,0,2,9,5,1
120,8.65,3,0,1,8,3,1
130,6.35,10,0,0,9,5,1
81,8.22,8,1,2,9,5,1
101,10.1,7,0,7,8,3,1
92,8.4,4,0,6,10,3,1
122,9.52,6,0,0,2,4,1
115,7.01,3,1,2,9,2,1
113,9.41,3,0,2,6,2,1
124,8.69,3,1,3,4,3,1
67,9.03,7,1,10,9,4,1
114,9.6,4,0,9,4,4,1
118,8.11,7,0,2,2,5,1
111,6.97,6,0,8,9,3,1
117,8.13,6,1,2,10,3,1
99,10.16,3,0,3,9,2,1
81,8.88,6,1,2,8,4,1
104,8.45,2,0,6,10,4,1
82,9.31,9,0,2,9,2,1
118,8.88,8,0,0,7,2,1
124,9.04,4,1,7,10,0,1
109,8.29,3,0,1,9,5,1
121,9.99,1,0,7,1,4,1
113,8.56,10,1,9,8,0,1
118,7.19,8,0,5,9,3,1
118,8.6,3,1,5,2,3,1
118,6.12,1,1,8,8,3,1
114,9.43,1,0,7,7,3,1
102,9.74,2,0,4,10,4,1
90,8.74,4,0,9,8,4,1
117,9.37,2,1,7,6,5,1
105,8.45,3,0,1,8,5,1
119,8.3,7,1,6,8,4,1
125,7.67,7,1,9,10,2,1
96,9.96,8,1,6,8,2,1
122,8.85,3,0,3,1,4,1
115,9.58,9,0,7,7,4,1
117,8.18,7,0,1,5,2,1
101,8.38,3,0,2,8,4,1
113,8.77,8,0,7,3,3,1
88,9.29,10,0,5,10,4,1
112,8.37,10,0,7,8,5,1
114,9.45,2,0,7,5,3,1
114,9.99,1,0,9,9,1,1
112,8.36,8,0,3,6,4,1
115,5.82,4,0,5,8,2,1
128,9.86,7,0,0,4,2,1
98,8.44,9,0,7,8,4,1
